Contract_ID,Product_ID,Start_Date,End_Date,Premium,Coverage,Discount_Rate
252521b6-d0d3-47a3-b82d-5ac9a4072aff,1817,2023-05-27,2024-12-04,5232.37,78083.96,0.01
8dafe802-72fd-4528-b80d-788d5829d1bd,1853,2023-09-17,2027-10-31,9453.23,26137.91,0.05
7a23ec3e-f488-4c2e-b221-7a7172e70bd4,1410,2023-02-21,2026-01-31,17114.67,86182.63,0.02
a51d08fd-aee4-4926-ad30-343f4101d90f,1900,2023-04-11,2023-06-25,13306.24,90793.1,0.02
00e7c71e-0b86-4716-8a04-10a6d754d254,1273,2023-07-20,2025-02-14,7537.78,71276.07,0.01
bfed78bc-653c-429b-b98f-9cdca5843df7,1520,2023-01-25,2027-06-25,12248.64,48315.28,0.03
6b34853f-13c5-4b0a-8f70-8f53d7f621fc,1475,2023-06-21,2023-09-03,9923.32,44362.2,0.02
8e8c5511-86ef-4d85-9336-77923b2f001b,1110,2023-06-21,2023-10-04,7443.71,36542.11,0.03
980c16de-4ad2-46e4-8d40-fa23b0379317,1790,2023-07-20,2028-10-31,19391.21,85645.77,0.02
64589c3c-0d1e-4817-ad76-471cb13c0693,1249,2023-08-03,2027-09-30,10615.68,36354.3,0.03
f1d15966-c20c-409a-a162-b89eed37452e,1027,2023-04-10,2025-06-24,5402.71,89022.21,0.04
c3f2a293-2afe-4318-814a-cedab77f48c1,1380,2023-09-22,2028-12-02,13480.13,95582.56,0.04
26a6d2a8-f8ce-4f10-99bd-b2bc1a860756,1037,2023-02-05,2029-08-23,19157.16,22730.86,0.02
021bd728-ac53-495c-af62-ee375d7409fb,1700,2023-06-05,2025-07-12,17982.99,42858.32,0.01
d864af4b-2cf4-4c14-8ff9-c80a27248733,1376,2023-01-17,2029-11-18,9120.44,91539.07,0.04
de085d9a-3fd0-4e1e-a6c1-1809f2bfc653,1593,2023-07-04,2024-01-27,7642.77,36065.94,0.02
eb8e6225-a0a7-4b29-9ead-22030ece64df,1013,2023-10-13,2025-12-27,19313.76,53364.9,0.04
83815a12-a373-411f-adbb-e0ae53063355,1496,2023-08-09,2028-06-22,10423.9,95133.94,0.02
1d713cc1-23e2-416f-b66e-9a22a7d122be,1689,2022-12-30,2028-10-05,9406.5,67136.92,0.05
d18502b5-fc2a-4e7e-ae54-adcf4e027073,1216,2023-04-05,2029-09-04,16622.23,29551.38,0.02
6d32f12c-b445-4021-b10f-e53d71205c8a,1921,2023-04-01,2025-08-13,7122.34,89091.24,0.04
19633858-98a6-4e4e-8fac-a8d92bb7d125,1239,2023-04-03,2027-05-05,17779.3,28661.84,0.02
1e9bc62c-162a-4268-8678-925901b76ba5,1854,2023-03-27,2026-10-16,16374.01,25065.72,0.02
8a1e503d-d357-458b-8710-7d21fa5d75b4,1610,2023-03-19,2025-01-17,15129.33,26507.81,0.04
652569ba-44e5-4fbb-9784-7d40f6ae9eed,1893,2023-09-01,2029-05-19,15740.64,35261.61,0.04
a494e1cd-5476-49ee-91bf-e018c2d5ccf8,1239,2023-02-28,2024-10-03,6387.84,66927.19,0.02
a0118a5f-5849-4f86-993a-c8c739b281b1,1116,2023-01-30,2029-06-12,5289.51,96696.82,0.02
