Contract_ID,Future_Cash_Flows,CSM
252521b6-d0d3-47a3-b82d-5ac9a4072aff,78083.96,780.8396000000001
8dafe802-72fd-4528-b80d-788d5829d1bd,26137.91,1306.8955
7a23ec3e-f488-4c2e-b221-7a7172e70bd4,86182.63,1723.6526000000001
a51d08fd-aee4-4926-ad30-343f4101d90f,90793.1,1815.862
00e7c71e-0b86-4716-8a04-10a6d754d254,71276.07,712.7607
bfed78bc-653c-429b-b98f-9cdca5843df7,48315.28,1449.4584
6b34853f-13c5-4b0a-8f70-8f53d7f621fc,44362.2,887.2439999999999
8e8c5511-86ef-4d85-9336-77923b2f001b,36542.11,1096.2633
980c16de-4ad2-46e4-8d40-fa23b0379317,85645.77,1712.9154
64589c3c-0d1e-4817-ad76-471cb13c0693,36354.3,1090.6290000000001
f1d15966-c20c-409a-a162-b89eed37452e,89022.21,3560.8884000000003
c3f2a293-2afe-4318-814a-cedab77f48c1,95582.56,3823.3024
26a6d2a8-f8ce-4f10-99bd-b2bc1a860756,22730.86,454.6172
021bd728-ac53-495c-af62-ee375d7409fb,42858.32,428.58320000000003
d864af4b-2cf4-4c14-8ff9-c80a27248733,91539.07,3661.5628
de085d9a-3fd0-4e1e-a6c1-1809f2bfc653,36065.94,721.3188
eb8e6225-a0a7-4b29-9ead-22030ece64df,53364.9,2134.596
83815a12-a373-411f-adbb-e0ae53063355,95133.94,1902.6788000000001
1d713cc1-23e2-416f-b66e-9a22a7d122be,67136.92,3356.846
d18502b5-fc2a-4e7e-ae54-adcf4e027073,29551.38,591.0276
6d32f12c-b445-4021-b10f-e53d71205c8a,89091.24,3563.6496
19633858-98a6-4e4e-8fac-a8d92bb7d125,28661.84,573.2368
1e9bc62c-162a-4268-8678-925901b76ba5,25065.72,501.31440000000003
8a1e503d-d357-458b-8710-7d21fa5d75b4,26507.81,1060.3124
652569ba-44e5-4fbb-9784-7d40f6ae9eed,35261.61,1410.4644
a494e1cd-5476-49ee-91bf-e018c2d5ccf8,66927.19,1338.5438000000001
a0118a5f-5849-4f86-993a-c8c739b281b1,96696.82,1933.9364000000003
ba57b0f7-5b74-4aea-b19d-fcb8f9b7fb97,96827.05,3873.0820000000003
4f9d0227-16cc-49e3-9065-901c16472e65,57152.38,1714.5713999999998
d3ceaac9-ccfd-472a-9062-1467fc1beac2,59371.04,1187.4208
60bf05c9-dbd9-458e-8819-a69d732f6a3b,45874.67,458.7467
803b8fcc-9107-4991-add3-3487aec57a7c,99009.56,3960.3824
2d9039c7-b88d-4f7c-9168-27135c8a7ea1,82863.17,828.6317
56e3c34d-0f99-4a64-a587-7d17c95d5a50,72082.47,2883.2988
02ce1f6c-c172-40d1-9e9d-363a8ae3f57d,77141.9,2314.2569999999996
e5290005-b0b7-4e4e-953e-1537d0124380,54205.57,2168.2228
7de28748-d824-4fc7-8276-e9d3e4f95c43,98809.76,1976.1951999999999
0c9c142d-fc95-4568-8d39-c887accda071,62655.19,2506.2076
2cfda1cb-2cf0-4bb4-a8a1-77577de413ad,65775.43,657.7543
ebfc63f4-bd09-40d8-9902-5749ca6d4895,44477.41,1779.0964000000001
7470d7bc-b72f-4259-adb5-87d2888eefed,53101.18,1593.0354
4bb61caa-5d4e-4bac-8d4f-68685db49e77,95735.17,4786.7585
bd940946-1695-4c9f-bfea-b1f893016b74,88849.98,3553.9991999999997
bdbb8dbb-b2fd-44cc-92c5-18b639215086,48777.63,2438.8815
4119bf9b-a316-4d6b-a75e-b20373ffaf6d,60417.27,2416.6908
874cc27c-e4ea-4969-bc45-b9fa99f48551,27992.65,279.92650000000003
25ea31c9-0bb0-42dd-83ae-b728174f1be8,79170.89,2375.1267
d49ccb78-bc66-4636-80ba-c198d2816c1a,89224.72,892.2472
9a23b2d0-789d-4d3a-9f58-51f1f1eb70a8,65065.99,1951.9796999999999
6738b935-e6b7-4607-9234-ef57cfd29c9c,73916.36,2217.4908
26cbfb6b-8ffc-4793-92d0-8fd3f0272a11,27591.43,1103.6572
0e7afaf9-15c5-4aba-98f9-fa160095fb3e,59476.31,2379.0524
308bdc05-c679-45e0-ac5b-b5836838f47c,59984.5,1799.5349999999999
ef800f20-ffa5-4b9c-9936-c183f0185bdf,69717.05,2788.6820000000002
e69e96c9-503e-4abd-8548-a0adb1841488,87484.39,3499.3756
90db98df-cd29-4247-a9f6-af8d3460b00e,37240.37,1117.2111
07193c62-08d0-414d-ae04-27f6ac9713bb,63036.61,1891.0982999999999
1e5cc1e8-96da-4ad4-a698-a7958abefdf8,78790.41,3151.6164000000003
d781e985-290a-404e-91fb-f79921e34f7c,48726.79,1949.0716
eed1fb87-2de8-4902-b340-25c50973f90c,62937.84,1258.7567999999999
2022b69f-21e5-4c93-88ed-cbf2a1328bce,78671.95,1573.439
78eee7d8-51a0-4180-b6fe-438237752370,93500.13,2805.0039
d9f2a151-32c4-4fe2-be2c-8bb676ed2c92,39759.4,1192.782
f5139cff-88be-4bd1-97f4-59da3bf3046c,43952.72,1758.1088
