Claim_ID,Contract_ID,Claim_Amount,Claim_Date
01921e27-d36f-41ee-ae7b-50417dd9e4c4,5c7f9898-2bfa-438e-ba20-b786937d510d,6856.65,2024-01-26
a6f5dd6b-71d0-4448-b460-3a9407f690b3,ed03029e-2642-497c-834b-ddad8d4e0c79,4142.98,2024-09-14
f0ab4284-5dde-4e6a-ab35-add52ecd7053,0f831bc0-a769-4b67-81b7-606364a1f7c7,1335.15,2024-09-18
d1f6ec6c-8d95-4edb-a9b9-5f1b84bbd9de,8a7efd87-3a34-40cf-aeeb-a8b6c97db754,4407.07,2024-05-08
12668a5b-40e0-4e82-8568-16b6863565b9,966a4e6f-239e-45b1-bd44-0551efd18e80,6553.01,2024-02-15
eb2782dc-29a6-4ea7-87a5-7668323f321f,60ceb2ef-7a62-4a91-8f96-f013fc2d4c05,6701.25,2024-09-14
a3ca3130-c648-405a-ab15-e95ddf3fd57a,f1f06055-f53f-4b01-a69b-adf62268ce5c,4736.01,2024-09-29
71daa6e6-42c4-4aba-9227-854e1ccc232e,505e1422-f395-4c5b-8294-497c7ca6a7a3,9336.13,2024-11-10
34633750-b2a1-4510-8701-f74ea8c67ebb,c01106d9-d1d7-42ea-a972-d8c4954ac33b,3141.61,2023-12-23
d6788ced-23e4-4b92-9154-7b9b4dba6921,7c67efd7-d61e-45ff-9336-d1cf6d297ae1,2943.38,2024-06-30
44e13226-6db6-49cf-adf5-28e1debac32f,e9760520-f7fa-4972-ba8a-6d341978cd1c,8275.39,2024-02-11
fcd99add-8dc0-4710-910d-7ac68616f9af,de482ea9-b2e7-44a4-9278-bee83284a810,8204.47,2024-06-19
50b963de-1598-460a-bcfa-6f230e956fb9,1aa020e1-f272-49ac-a36e-a637429c21e7,1191.33,2024-09-06
e002c522-b6d5-490c-b253-be4b994b6f2c,e601405b-b9d5-48ac-a45e-7eb414baaeec,2538.86,2024-10-06
f975dbc0-4d3d-4f8b-8542-7c500134c0c0,0369067a-eb12-40f2-a4e0-f2bff976fc47,7911.72,2024-02-03
32925267-ab52-4608-93b7-8bc9c37fb85f,9edb6df3-3aa8-4a60-8243-1856c9ef7c17,9556.84,2024-05-24
a9e9a648-4fe1-4b45-b93c-a43831ca07a3,682410a4-73e7-4a52-a271-d28f1e48259e,5963.99,2024-11-13
ed0ee2c9-8ba7-4af7-8933-5a49556778f6,a14aefd4-a32e-4681-a7e4-cd6c6a71a16f,6764.51,2024-02-27
4dd3ae2e-4705-4a65-9947-2d71dcdfc6b4,ed249674-37a8-48df-b51e-58cb16d58c6d,5092.07,2024-02-05
4f073a6a-7c56-48d1-b627-35287b74400d,da9eb921-d6b4-4ec1-9d72-efa22dbaa222,9844.14,2024-03-23
044203ff-75f4-4848-9747-750a7467d782,ca65f249-e306-4828-a8a2-416d39621670,3031.79,2024-02-09
257c9622-0188-4ebd-81b4-c12a6df06894,b501e4a0-3a76-4cd5-b9cc-dec88276cc1a,3914.76,2024-11-19
5fb91a67-b96e-455a-8d03-dbf62c977b8c,51514aa1-806c-4da7-964e-90b858dd9741,6177.78,2024-10-26
8ca9b4f5-3f65-40f8-ae31-4f6729ed7aeb,f7188112-fa01-4bf2-8bfe-1ac703c7a2e3,2429.83,2024-09-29
fdfb3881-7dd6-4e10-a510-1b882d6eae9a,fb8f7e0b-c982-41ff-86ec-47a58d2a9328,8459.57,2024-02-12
cbe97139-7a84-48c5-9f46-0ad10421fb0a,015962bb-5d19-4bbf-b664-a3f9a646790f,5102.01,2024-08-10
b60cd6d6-2f51-4c7e-9b54-1924f20fa0b6,9197e6b2-9ce3-4984-a543-64a75bb82716,1313.1,2024-06-26
c30dcfab-731f-4707-baaf-e24d42eca02b,c9a7eb24-89c4-42b7-a8fc-5b16fe21901f,4802.37,2024-09-19
35844c17-9a27-4c3e-8e74-721d1262dcad,b6dd42db-d3e7-4f9e-9461-881e5a6c6f2d,1794.64,2024-08-03
ec916fff-7f80-434d-a55c-cb2feb0e032a,4298f8f2-d1e6-4cbc-86fc-81ceaa1b8d44,4942.58,2024-04-27
c2d3beb7-270c-4929-8c5e-f91ba7c78f21,0747481e-343f-404c-a708-80061f8622a4,9924.8,2024-06-12
c0ed89c1-a412-4a13-a96c-6f1f977d30b6,dfca2425-16b1-4c85-a416-899c5d3543ef,9827.36,2024-01-15
20b5eda5-d869-477c-8523-1ca50a8acd69,af2daa88-4e69-46df-8b82-da99cedc5d9c,2985.1,2024-09-14
be91e482-7dc2-4334-84a0-90194406024e,df818889-22d8-4f39-ba6b-4895dfba0200,3636.65,2024-05-13
fe10c80e-59dc-42d4-ac2e-9766306c3b7d,ab99fcc3-fb66-4810-a3f0-e456a98e457d,3759.49,2024-07-31
3386bfe4-6620-4052-99ed-cff77f7979ba,38014bd9-0026-449f-8052-0f07a5602fc1,5358.34,2024-04-13
1462f7f1-db0b-4996-b2d8-22ebd7a140af,ce017dca-b847-4613-8217-806aab38f2be,4162.57,2024-07-26
3eebce9c-3a0e-4b07-b52c-1b0cbf460cab,3d252122-1671-45b9-a0ce-6c893a8bdc7b,2123.88,2024-09-29
84a41b82-9ba1-4094-bdc4-a83f12cb6429,75e76685-4cb2-4547-b540-42c69a213a11,9942.72,2024-06-22
5c547a5f-1de5-47b4-9b99-2c0ed82e2957,c4d765a5-bb7f-4f16-9f3a-cd2dab75ec60,2676.27,2024-08-14
f22f3dfa-94f6-4a79-bf40-e28c13ceb95a,7f01ea2b-9619-4ca6-b784-6d4451902b33,2581.72,2024-03-31
ee53adc2-1571-4e87-9442-129e6827c2e0,e466b378-d0e9-4aeb-bf56-0e71d9a92ba6,7321.1,2024-09-09
